"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,21,46,"B01M4OV4Q4",false,14.88,"USD",0,0,0,945,4.6,"https://www.amazon.com/dp/B01M4OV4Q4","4347.00",false,false,false,false,"RAINBOW TOYFROG Magnetic Drawing Board - Fully Enclosed Magnetic Beads & Stylus Pen - Sensory Magnet Board for Kids - Trav...","https://m.media-amazon.com/images/I/51mLq1T2OdL._AC_UL400_.jpg"
1,22,47,"B0B7HJZH3S",false,27.99,"USD",0,0,0,3,5,"https://www.amazon.com/dp/B0B7HJZH3S","15.00",false,false,false,false,"Zhehao 12 Pack Mini Magnetic Bead Board Multicolor Round Magnetic Drawing Board Drawing Stylus Magnet Tablet Pad Erasable ...","https://m.media-amazon.com/images/I/71UuYZ+C05L._AC_UL400_.jpg"
1,23,48,"B0BWJCMFKB",true,11.99,"USD",13.99,2,14.3,8,4.4,"https://www.amazon.com/dp/B0BWJCMFKB","35.20",false,false,false,false,"Magnetic Drawing Board for Toddlers 1-3|Magnetic Dot Art for Kids Age 4-8|Indoor Mini Cat Doodle Board with Magnetic Pen &...","https://m.media-amazon.com/images/I/71JztQ7-FZL._AC_UL400_.jpg"
1,24,49,"B09R1M763W",false,15.99,"USD",0,0,0,18,3.5,"https://www.amazon.com/dp/B09R1M763W","63.00",false,false,false,false,"NiToy 3-Pack Wooden Magnetic Maze Toys for Kids 3+, Dinosaur Interactive Puzzle Game Boards Montessori Labyrinth STEM Acti...","https://m.media-amazon.com/images/I/71HWhzy7C2L._AC_UL400_.jpg"
1,26,50,"B0BWYDD4BJ",true,19.99,"USD",23.99,4,16.67,2,3.5,"https://www.amazon.com/dp/B0BWYDD4BJ","7.00",false,false,false,false,"Sponsored Ad - Magnetic Drawing Board for Toddlers Kids Large Doodle Board with Magnetic Beads & 2 Magnetic Pens Dot Art M...","https://m.media-amazon.com/images/I/81NXrrrsiEL._AC_UL400_.jpg"
1,27,51,"B0BN3JZVSM",false,15.69,"USD",0,0,0,24,4.2,"https://www.amazon.com/dp/B0BN3JZVSM","100.80",false,false,false,false,"Sponsored Ad - MKbobean Magnetic Drawing Board for Toddlers 3+, 3 Pack Mini Magnetic Beads for Kids, Magnetic Board for Ki...","https://m.media-amazon.com/images/I/71WA6nFYDqL._AC_UL400_.jpg"
1,28,52,"B0BRM4S1GT",false,18.99,"USD",0,0,0,19,4.1,"https://www.amazon.com/dp/B0BRM4S1GT","77.90",false,false,false,false,"Sponsored Ad - PP OPOUNT Wooden Jewelry Design Board, Flocked Bead Board for Jewelry Making, Solid Wood with Flocked Bead ...","https://m.media-amazon.com/images/I/81xNpzAG2WL._AC_UL400_.jpg"
1,29,53,"B0BGGP1S1W",false,23.99,"USD",0,0,0,65,4.2,"https://www.amazon.com/dp/B0BGGP1S1W","273.00",false,false,false,false,"Coogam Magnetic Alphabet Maze Board Wooden ABC Letters Matching Puzzle Fine Motor Skills Montessori Educational Learning T...","https://m.media-amazon.com/images/I/917O86ww8HL._AC_UL400_.jpg"
1,30,54,"B09ST3H2H7",false,23.39,"USD",0,0,0,1664,4.5,"https://www.amazon.com/dp/B09ST3H2H7","7488.00",false,false,false,false,"GAMENOTE Magnetic Alphabet Maze Board with 4 Activity Cards, Wooden Matching Letter Game Montessori Toys for Preschool Kin...","https://m.media-amazon.com/images/I/71hi4rjrPSL._AC_UL400_.jpg"
1,31,55,"B07XL6BG7J",false,19.99,"USD",0,0,0,187,4.2,"https://www.amazon.com/dp/B07XL6BG7J","785.40",false,false,false,false,"O-Toys Kids Maze Wooden Puzzle Activity Magnet Toys Beads Board Game Play Set for Boys Girls Learning Education Toy with M...","https://m.media-amazon.com/images/I/715508rXENL._AC_UL400_.jpg"
