"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,31,117,"B0BQQXX4BV",true,85.49,"USD",94.99,9.5,10,212,5,"https://www.amazon.com/dp/B0BQQXX4BV","1060.00",false,false,false,false,"ornesign 2 Pack 6×3×1FT Premium Galvanized Raised Garden Bed Kit, Quick Setup Raised Garden Beds Outdoor Planter Box, 25 G...","https://m.media-amazon.com/images/I/81mBlkrmYVL._AC_UL400_.jpg"
13,4,118,"B0BRXG2NFJ",true,99.99,"USD",119.99,20,16.67,3,5,"https://www.amazon.com/dp/B0BRXG2NFJ","15.00",false,false,false,false,"Sponsored Ad - Bluyard Raised Garden Bed 6.5x2x1.4 ft Zinc-Aluminum-Magnesium Coated Steel Planter Box Outdoor with Rubber...","https://m.media-amazon.com/images/I/810wuHXeW9L._AC_UL320_.jpg"
1,32,119,"B09X9H6Y1T",true,84.99,"USD",119.99,35,29.17,213,4.4,"https://www.amazon.com/dp/B09X9H6Y1T","937.20",false,false,false,false,"Land Guard 2Pcs Galvanized Raised Garden Bed Kit, Galvanized Planter Oval Large Metal Raised Garden Boxes Outdoor for Vege...","https://m.media-amazon.com/images/I/61LAnreQakL._AC_UL400_.jpg"
13,5,120,"B09WHC4J2B",true,144.44,"USD",169.95,25.51,15.01,216,4.7,"https://www.amazon.com/dp/B09WHC4J2B","1015.20",false,false,false,false,"Sponsored Ad - VEGEGA. 8ft X 2ft X 1.4ft Raised Garden Bed Kit, Large Zinc-Aluminum-Magnesium Stainless Steel Metal Plante...","https://m.media-amazon.com/images/I/61dFi32tyAL._AC_UL320_.jpg"
1,33,121,"B0BZ81DY3D",false,35.99,"USD",0,0,0,2,5,"https://www.amazon.com/dp/B0BZ81DY3D","10.00",false,false,false,false,"MOFEEZ Galvanized Raised Garden Bed Kit, 4x2x1 Ft Galvanized Planter Raised Beds, Oval Large Metal Raised Garden Beds Outd...","https://m.media-amazon.com/images/I/718fE9EJm5L._AC_UL400_.jpg"
13,6,122,"B08RP567CV",true,43.99,"USD",49.99,6,12,233,4.5,"https://www.amazon.com/dp/B08RP567CV","1048.50",false,false,false,false,"Sponsored Ad - ProGard Raised Garden Bed, Garden Raised Planter Box with Legs, Galvanized Garden Planter for Herbs and Veg...","https://m.media-amazon.com/images/I/713bcD3rj3L._AC_UL320_.jpg"
1,34,123,"B0BPYW2QWJ",true,63.97,"USD",79.97,16,20.01,58,4.7,"https://www.amazon.com/dp/B0BPYW2QWJ","272.60",false,false,false,false,"Galvanized Raised Garden Bed Outdoor // 6×3×1 ft Planter Boxes Raised Beds for Outdoor Plants, Vegetables, Gardening // La...","https://m.media-amazon.com/images/I/61AfpUpsYoL._AC_UL400_.jpg"
13,7,124,"B0BZT64ZZ4",true,152.99,"USD",169.99,17,10,31,4.9,"https://www.amazon.com/dp/B0BZT64ZZ4","151.90",false,false,false,false,"Sponsored Ad - Garsence Galvanized Raised Garden Bed Outdoor 8ft X 2ft X 1ft 12 in 1 Metal Modular Raised Garden Planter R...","https://m.media-amazon.com/images/I/71czhxlz08L._AC_UL320_.jpg"
1,35,125,"B0BKPG8TC3",true,59.39,"USD",79.99,20.6,25.75,153,4.2,"https://www.amazon.com/dp/B0BKPG8TC3","642.60",false,false,false,false,"Highpro Raised Garden Bed with Legs, Mobile Planter Box Elevated on Wheels Portable Planter Cart Outdoor Indoor for Vegeta...","https://m.media-amazon.com/images/I/81AIgs3kpxL._AC_UL400_.jpg"
13,8,126,"B0BCVVN6G3",true,49.99,"USD",54.99,5,9.09,321,4.5,"https://www.amazon.com/dp/B0BCVVN6G3","1444.50",false,false,false,false,"Sponsored Ad - BUTUNITA Galvanized Raised Garden Bed Outdoor Metal for Gardening Vegetables Flower Garden Planter Box Larg...","https://m.media-amazon.com/images/I/81dBjWQ+fnL._AC_UL320_.jpg"
1,36,127,"B0BN1XJGTP",true,149.99,"USD",159.99,10,6.25,74,4.7,"https://www.amazon.com/dp/B0BN1XJGTP","347.80",false,false,false,false,"T4U Raised Garden Bed,17"" Tall 8ft X 2ft Zinc-Aluminum-Magnesium Stainless Steel Durable Metal Planter Box, Easy to Instal...","https://m.media-amazon.com/images/I/71okdK1AhJL._AC_UL400_.jpg"
13,9,128,"B0BKL5MPXM",false,49.99,"USD",0,0,0,79,4.6,"https://www.amazon.com/dp/B0BKL5MPXM","363.40",false,false,false,false,"Sponsored Ad - TOUFUN Raised Garden Bed,Galvanized Raised Garden Beds Outdoor for Vegetables Flowers Herbs, Raised Bed Pla...","https://m.media-amazon.com/images/I/81R8qhG+DSL._AC_UL320_.jpg"
1,37,129,"B0BJKD8YYY",true,32.99,"USD",34.99,2,5.72,534,4.5,"https://www.amazon.com/dp/B0BJKD8YYY","2403.00",false,false,false,false,"KIBAGA Premium Raised Garden Bed for Outdoors - Sturdy and Easy to Assemble Galvanized Steel Planter Box - Versatile Metal...","https://m.media-amazon.com/images/I/810vXtD2yEL._AC_UL400_.jpg"
1,38,130,"B09TXB7F3Q",true,129.99,"USD",139.99,10,7.14,56,4.5,"https://www.amazon.com/dp/B09TXB7F3Q","252.00",false,false,false,false,"9 ft x 3 ft Raised Garden Bed Metal Elevated Planter for Vegetable Flower Herb (2pk)","https://m.media-amazon.com/images/I/81hh8vfHWlL._AC_UL400_.jpg"
14,1,131,"B0BGM15Z36",true,138.58,"USD",168.58,30,17.8,43,4.9,"https://www.amazon.com/dp/B0BGM15Z36","210.70",false,false,false,false,"Sponsored Ad - FarmGeo Raised Garden Bed Kit 17"" Tall Magnesium-Aluminum-Zinc Stainless Steel Metal Planter Box for Planti...","https://m.media-amazon.com/images/I/7136GABhG9L._AC_UL400_.jpg"
1,39,132,"B09XX4F6X7",false,39.99,"USD",0,0,0,207,4.6,"https://www.amazon.com/dp/B09XX4F6X7","952.20",false,false,false,false,"Land Guard Galvanized Raised Garden Bed Kit, Galvanized Planter Round Large Metal Raised Garden Boxes Outdoor for Vegetabl...","https://m.media-amazon.com/images/I/613i71+6GAL._AC_UL400_.jpg"
14,2,133,"B0B5B2WQB5",false,39.99,"USD",0,0,0,73,4.2,"https://www.amazon.com/dp/B0B5B2WQB5","306.60",false,false,false,false,"Sponsored Ad - NACREEN Raised Garden Bed with Legs Planters for Outdoor Plants Garden Boxes Outdoor Raised Planter Box Per...","https://m.media-amazon.com/images/I/71nyY17MWnL._AC_UL400_.jpg"
1,40,134,"B0BBYX2DD9",false,38.99,"USD",0,0,0,185,4.7,"https://www.amazon.com/dp/B0BBYX2DD9","869.50",false,false,false,false,"Sponsored Ad - ENJOYBASICS Raised Garden Bed Kit, Galvanized Raised Planter Box Outdoor for Vegetables, Large Bottomless M...","https://m.media-amazon.com/images/I/71xrGOWbwXL._AC_UL400_.jpg"
14,3,135,"B0BRS3M5KP",false,109,"USD",0,0,0,18,4.6,"https://www.amazon.com/dp/B0BRS3M5KP","82.80",false,false,false,false,"Sponsored Ad - MFMRSLW Raised Garden Bed Galvanized Planter Raised Beds Outdoor for Gardening Vegetables Flowers Herbs Suc...","https://m.media-amazon.com/images/I/81sEnUVDF0L._AC_UL400_.jpg"
1,41,136,"B0BQF3LLWP",false,99.98,"USD",0,0,0,29,4.8,"https://www.amazon.com/dp/B0BQF3LLWP","139.20",false,false,false,false,"CODACE Raised Garden Bed Kit, 2Pcs Galvanized Raised Garden Beds Outdoor for Gardening, Metal Raised Planter Box for Veget...","https://m.media-amazon.com/images/I/810ddPXYMyL._AC_UL400_.jpg"
