"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on August 4, 2022","Rolando Manso","yes","yes","Exactly as described and no surprises :)","I purchased this and set it up for my mom.  She loves it and can garden longer with less back pain.  Everything came in a very compact package considering the size of this thing.  It was relatively easy to assemble if you just take your time.  It's been a few months and everything still looks like new.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2HX2E2CX4RIMO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HDM876","Color: A-silver | Size: F-4x3x2 ft"
"Reviewed in the United States on February 23, 2022","R. Bauer","yes","yes","sturdy, huge","a bit pricy, but worth it.  holds a LOT of soil and is deep enough to plant tomatoes and other deep root veggie.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R17NRH9HS36FRP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCKBL2","Color: C-dark Grey Matte | Size: F-4x3x2 ft"
"Reviewed in the United States on March 14, 2022","Amazon Customer","yes","yes","Figure it out yourself","Horrible directions on assembly. How tough is is to lable parts A,B,C and so on. Sheesh!",3,"-","-","https://www.amazon.com/gp/customer-reviews/R25Z073NAMA0Z2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCXGC9","Color: A-silver | Size: D-6x3x2 ft"
"Reviewed in the United States on May 20, 2023","S. Robison","yes","yes","Look dubstantial","I purchased four of the 4 x 8 x 2 beige beds. Nice powder coat and didn’t scratch. Tops and bottoms are rolled so not sharp. Nog as as thin as most beds. Wish was better way than all those screws snd wing nuts. First box had two extra fasteners!  The supports look good . Only reason I dinged them is for their poor directions!  Where do you start…put sides together with wing nuts on inside. Then do short edges. Lastly put the supports in. Tighten all. Delivery was quick. I’d buy again provided they last.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3I8SGA1U216HP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B0BGN96ZZ1","Color: D-beige | Size: E-8x4x2 ft"
"Reviewed in the United States on October 10, 2022","donnadonna","yes","yes","Looks like it will outlast me.","Absolutely love this. The packing was awful and arrived with no nuts and bolts.  They did solve that as fast as possible.",5,"https://m.media-amazon.com/images/I/81SLqRrt2cL.jpg , https://m.media-amazon.com/images/I/81drfBDRFoL.jpg","-","https://www.amazon.com/gp/customer-reviews/RJYHSE8G8KCHZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B09QC7S9WV","Color: C-dark Grey Matte | Size: D-6x3x2 ft"
"Reviewed in the United States on March 31, 2022","Marie V","yes","yes","alot of screws but very sturdy","This product is very good ...very sturdy......however the packaging could be improved....however we were missing product and some was damaged  but we contacted the seller and worked with us ASAP...no problems what so ever......If I had more room I would buy more but very excited to get started on my garden . looks so clean and nice in my yard........",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2HM8JLOT4NWFW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B09QC7S9WV","Color: C-dark Grey Matte | Size: D-6x3x2 ft"
"Reviewed in the United States on March 29, 2022","Irene K","yes","yes","Excellent product! Fit my needs well.","I purchased three and found it relatively easy to assemble alone. I had to assemble one under cover and the move it in place which proved to be simple. All three are very sturdy and the lining is an added bonus.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R204CIFE8AISYX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCXGC9","Color: A-silver | Size: D-6x3x2 ft"
"Reviewed in the United States on May 18, 2022","MaggieD","yes","yes","Not as good...","I have several different brands of galvanized beds and bought 2 of this brand. These do not have reinforcement tops for the corners like others. Not all the holes were punched out, several bolts would not thread (they don’t give any extra), and one bed was missing the bag of bolts. I would return these but the return window is closed.Edit 5/21/22; the company has reimbursed me the full amount (plus extra for my inconvenience) for the screws I purchased locally (rather than wait longer for shipping).  I appreciate this excellent service!",2,"-","-","https://www.amazon.com/gp/customer-reviews/R26S3ZCHB6WKVN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCKBL2","Color: C-dark Grey Matte | Size: F-4x3x2 ft"
"Reviewed in the United States on March 18, 2022","DiscoLemonade","yes","yes","Good value great bed","Very big and at a really good price",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1XX0UO6E0YWG9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCKBL2","Color: C-dark Grey Matte | Size: F-4x3x2 ft"
"Reviewed in the United States on April 2, 2022","matthewmatthew","yes","yes","Defective & missing hardware","Defective corner & missing 50% of the hardware required to assemble it. I bought two and neither came complete.",1,"https://m.media-amazon.com/images/I/61iOg3CtvgL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2E5733DCRDOY6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HDM876","Color: A-silver | Size: F-4x3x2 ft"
