"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on May 9, 2023","Jerome","yes","yes","Great price - light duty, just what I wanted.","The price is good considering you don't need to drill, cut, or bend sheet metal :-) It's not likely going to last a hundred years, but nothing does anymore. The panels have nice folded edges top and bottom so it's not sharp. The corner brackets have some sharp edges- its sheet metal- so be careful on those. It is a few inches shorter than shown in the picture but close enough for my needs.The panels have 8 drilled holes on each end and comes with a bunch of little bolts and square nuts to put it together. Center uses support rods. The  center uses a bolt and square nut starting at the top hole then the next hole uses a support rod then the following hole uses bolt and square nut, etc.It is easier to put together if you have a helper. If you have work gloves, recommend use them for sharp edges. If no helper, then have at least something you can lean a side panel on while connecting end pieces - that's what I did. The polished metal looks nice. But I might put some paint on it to blend in better with my area.Some if the corners were a little bent during shipping. But I easily straightened them with small pliers. And the corners anyway hide behind the corner brackets.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2BQ2N08YH8536/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on May 19, 2023","Robert P. RockRobert P. Rock","yes","yes","Great Product and Price","I was planning to build my own with wood and roofing panels. After pricing these at major box stores, this product was $150 less for the size. These are huge! 4 raised beds took approximately 5 ton of top soil even loading them stumps and wood. I topped it with a potting soil as well. These are so easy to put together and I built them in the comfort of my garage. Then carried them by myself to the garden area. Can't wait for the victory garden to start producing.",5,"https://m.media-amazon.com/images/I/81O72yRXovL.jpg , https://m.media-amazon.com/images/I/91ws2oVJPRL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3DR3GIQAMXGHD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on April 17, 2023","A. Hill","yes","yes","Not bad and not great","Once the unit was put together and placed in it's spot I was a little happier with it.  Plan on spending a good amount of time putting the planter together.  Plan on screwing together about a 100 nuts and bolts.  The metal is also very flimsy, sharp and hard to handle.  I was able to put the second unit together much faster after the first.  Imagine approximately 200 nuts and bolts being a screwed on.  Use whatever electric or battery tools you have to make the job easier.  However, they do look good and from what I can tell should work well.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R3186I99LUBVKQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 30, 2023","Full moon ","yes","yes","Good Investment","This is ideal for people who enjoy gardening outside and are searching for a sturdy garden bed. Years of debating led me to eventually muster the nerve to place my order, and I'm pleased I did.Galvanized metal is weather resistant and has a long lifespan. The kit is simple to put together. I value its size, which gives me enough room to cultivate a variety of veggies. The location I chose was a little damp and accumulates water when it rains, therefore one of the primary reasons I was searching for a bed with a little more height was for improved drainage.This is a good buy for anyone who is serious about gardening and should take it as a long-term investment, in my opinion.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RNDW6J83NB5EQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on February 17, 2023","sherry","yes","yes","Missing  parts","I ordered 6 of these. We had missing parts in 1 of the boxes. I had to return. I wish I could of just got the parts and not have the whole thing  replaced",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1N38IVQW5DA9F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 28, 2023","AA","yes","yes","It's not 8 feet as advertised. Is 91 inches not 96"" as described.","Assembles easy.  Packaging was poor and arrived damaged, loose parts.  Overall length is 91"" and not 96"".  Hoping is holds up.",2,"https://m.media-amazon.com/images/I/71yn9EBhtKL.jpg , https://m.media-amazon.com/images/I/81Sqmx0BveL.jpg","-","https://www.amazon.com/gp/customer-reviews/R173BK1XTITXLZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on February 27, 2023","Jimmy D","yes","yes","Not all pieces were there","Several panels and end caps were bent.There were no support bars in the package.The end of the box was damaged and there was a half dollar hole in the end of it.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3DRM5IZBA1K8H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on April 7, 2023","Bruce","yes","yes","Not as stated","This is aluminum not steel, to flimsy to fill with dirt",1,"-","-","https://www.amazon.com/gp/customer-reviews/R80B6TA9CA5CG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on January 28, 2023","Amazon Customer","yes","yes","Rusted","It says it won’t rust, but it did! Don’t buy this item. It’s Chinese garbage!!!",1,"-","-","https://www.amazon.com/gp/customer-reviews/R4VSTYMFMEH75/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on November 12, 2022","Paul R.","yes","yes","this is a total assembly, it states no assembly in description.","the ""no assembly"" assembly took two hrs. flimsy.",1,"-","-","https://www.amazon.com/gp/customer-reviews/RIZ5WL2H14OUV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
